Term ID,Categoria,Parent,Slug,_ricarico_percentuale,_categories_order_agr,_categories_in_box,Descrizione
20,Box,,box,,,,
30,Negozio,,negozio,,,,La biodiversità è il nostro futuro.
46,Gift Card,,gift-card,,,,
36,Verdura,Negozio,verdura,125,1,1,"Ortaggi di stagione, erbe spontanee e fiori per la tua cucina."
38,Frutta,Negozio,frutta,125,2,1,Varietà locali per la tua energia.
48,Carne e Pesce,Negozio,carne-pesce,,4,,"Di razze rustiche, alimentate con prodotti dell’azienda."
49,Pane e Cereali,Negozio,pane-cereali,,5,,"Da farine italiane, da semi autoprodotti e lievitazioni con pasta madre."
50,Dolci e Bevande,Negozio,dolci-bevande,,7,,"Produzioni artigianali, con materia prima di agricoltura contadina."
51,Salse e Olio,Negozio,salse-olio,88,6,,Per condire con la certezza della materia prima e della sua origine.
52,Uova e Latticini,Negozio,latticini,,3,,"Il pascolo, buon cibo a valenza ecologica."
,Piatti preparati,Negozio,piatti-preparati,40,8,,"Buoni, preparati con amore."
53,Casa e Persona,Negozio,casa-persona,88,9,,Da estratti e olii di origine vegetale.
,Aceto,Salse e Olio,,88,,,
,Affettati e salumi,Carne,affettati-salumi,100,,,
,"Aglio, cipolle e porri",Verdura,aglio-cipolle-porri,125,,,
,Anatra,Carne,,,,,
,Agnello,Carne,,,,,
,Agretti,Verdura,,125,,,
,Agrumi,Verdura,,125,,,
,"Arachidi, mandorle, nocciole e noci",Frutta,arachidi-mandorle-nocciole-noci,125,,,
,Aromatiche fresche,Piante aromatiche,,88,,,
,Aromatiche secche,Piante aromatiche,,88,,,
,Aromatiche sotto sale,Piante aromatiche,,88,,,
,Banane,Frutta,,125,,,
,"Barbabietola, radici e rape",Verdura,,125,,,
,Bibite e sciroppi,Dolci e Bevande,,88,,,
,Birra artigianale,Dolci e Bevande,,88,,,
,Biscotti,Dolci,,88,,,
,"Broccoli, cavolfiori e cavoli",Verdura,,125,,,
,Budini,Dolci,,88,,,
,Caffè e cereali tostati,Dolci e Bevande,,88,,,
,Caprini semistagionati,Formaggi,,125,,,
,Carciofi e cardi,Verdura,carciofi-cardi,125,,,
,Carne,Carne e Pesce,,100,,1,
,Carote e patate,Verdura,carote-patate,125,,,
,Cereali,Pane e Cereali,,88,,,
,Cereali in fiocchi,Cereali,cereali-fiocchi,88,,,
,Cereali in grani,Cereali,cereali-grani,88,,,
,Cioccolato,Dolci e Bevande,,88,,,
,"Composte per carne, pesce e formaggio",Salse e Olio,composte,88,,,
,Condimenti per minestre,Salse e Olio,condimenti-minestre,88,,,
,Condimenti per primi piatti,Salse e Olio,condimenti-primi-piatti,88,,,
,Coniglio,Carne,,100,,,
,Coniglio con osso,Coniglio,coniglio-osso,100,,,
,Coniglio disossato,Coniglio,coniglio-senza-osso,100,,,
,Creme spalmabili,Dolci e Bevande,,88,,,
,Cura donna,Per il benessere,,88,,,
,Cura uomo,Per il benessere,,88,,,
,Dado e soffritto,Verdura,dado-soffritto,125,,,
,Dolci,Dolci e Bevande,,88,,,
,Dolci di Carnevale,Dolci,dolci-carnevale,88,,,
,Estratti di frutta e verdura,Dolci e Bevande,estratti,88,,,
,Farine,Pane e Cereali,,88,,,
,Farine di grano,Farine,,88,,,
,Farine varie,Farine,,88,,,
,Fermentati,Verdura,,125,,,
,Finocchi e sedani,Verdura,finicchi-sedani,125,,,
,Foglie da cottura,Verdura,foglie-cottura,125,,,
,Formaggi,Uova e Latticini,,125,,1,
,Frutta secca,Frutta,,125,,,
,Giochi in legno,Per i bambini,giochi-legno,45,,,
,Igiene,Casa e persona,,88,,,
,Infusi e té,Dolci e Bevande,,88,,,
,Insalate,Verdura,,125,,,
,Kiwi e pere,Frutta,kiwi-pere,125,,,
,"Latte, yogurt e burro",Uova e Latticini,latte-yogurt-burro,100,,,
,Erbe e fiori di campo,Verdura,,,,,
,Legumi,Verdura,,125,,,
,Legumi freschi,Legumi,,125,,,
,Legumi secchi e preparati,Legumi,,125,,,
,Liquori,Dolci e Bevande,,88,,,
,Maiale,Carne,,100,,,
,Marmellate,Dolci e Bevande,,88,,,
,Marmellate con zucchero,Marmellate,,88,,,
,Miele,Dolci e Bevande,,88,,,
,Ovini semistagionati,Formaggi,,125,,,
,"Pane, grissini e pangrattato",Pane e Cereali,pane,88,,,
,Pasta,Pane e Cereali,,88,,,
,Pasta corta,Pasta,,88,,,
,Pasta fresca,Pasta,,88,,,
,Pasta lunga,Pasta,,88,,,
,Pasta per minestre,Pasta,,88,,,
,Per i bambini,Casa e persona,per-bambini,88,,,
,Per il benessere,Casa e persona,benessere,88,,,
,Per la casa,Casa e persona,,88,,,
,Pesce,Carne e Pesce,,120,,1,
,Pesce conservato,Pesce,,120,,,
,Pesce fresco,Pesce,,120,,,
,Piante aromatiche,Verdura,,125,,,
,Piatti preparati di carne,Piatti preparati,piatti-preparati-carne,40,,,
,Piatti preparati di pesce,Piatti preparati,piatti-preparati-pesce,40,,,
,Piatti preparati vegetariani,Piatti preparati,piatti-preparati-vegetariani,40,,,
,Pollo,Carne,,100,,,
,Pollo con osso,Pollo,,100,,,
,Pollo disossato,Pollo,,100,,,
,Pomodori,Verdura,,125,,,
,Riso,Pane e Cereali,,88,,,
,Olio,Salse e Olio,,,,,
,Sale,Salse e Olio,,88,,,
,Salse,Salse e Olio,,88,,,
,Saponi,Casa e persona,,88,,,
,Semi,Verdura,,125,,,
,Manzo,Carne,,,,,
,Senza sale o senza caglio,Formaggi,,125,,,
,Sott'olii e antipasti di verdure,Piatti preparati,sottoli,88,,,
,Spuntini,Piatti preparati,,88,,,
,Spuntini e dolci di frutta,Dolci e Bevande,,88,,,
,Succhi di frutta con zucchero,Bibite e sciroppi,,88,,,
,Succhi di frutta senza zucchero,Bibite e sciroppi,,88,,,
,Tacchino,Carne,,100,,,
,Torte,Dolci,,88,,,
,Uova,Uova e Latticini,,98,,1,
,Vaccini freschi,Formaggi,,125,,,
,Vaccini semistagionati,Formaggi,,125,,,
,Vaccini stagionati,Formaggi,,125,,,
,Vino,Dolci e Bevande,,88,,,
,Vino bianco secco,Vino,,88,,,
,Vino naturalmente dolce,Vino,,88,,,
,Vino rosso,Vino,,88,,,
,Vitello,Carne,,100,,,
,Vitellone per arrosti,Vitello,,100,,,
,"Vitellone per bistecche, grigliate",Vitello,,100,,,
,Vitellone per bolliti,Vitello,,100,,,
,Vitellone per cruda,Vitello,,100,,,
,Vitellone per sugo,Vitello,,100,,,
,Vitellone tagli particolari,Vitello,,100,,,
,Zucche,Verdura,,125,,,
,"Zucchero, dolcificanti",Dolci e Bevande,zucchero,88,,,
