id;descrizioneCompleta;Peso;;produttore;;;;;;;;;;;;;;
FORVAFRE34;Fresco di Cabannina prescinsÃªua g 150;150;;Azienda agricola Autra;;;;;;;;;;;;;;
FORVASEMISTAG5;Formaggetta di Cabannina g 150;150;;Azienda agricola Autra;;;;;;;;;;;;;;
VERDAGLIO1;Aglio rosso g 100;100;;Azienda agricola Mauro Villa;;;;;;;;;;;;;;
VERDAGLIO19;Aglio orsino selvatico g 50;50;;Azienda agricola Mauro Villa;;;;;;;;;;;;;;
VERDAGLIO2;Aglio novello g 100;100;;Azienda agricola Mauro Villa;;;;;;;;;;;;;;
VERDBARBABIET9;Barbabietola al forno g 500;500;;Azienda agricola Mauro Villa;;;;;;;;;;;;;;
VERDBARBABUC3;Barbabuc g 100;100;;Azienda agricola Mauro Villa;;;;;;;;;;;;;;
VERDBARBARDANA2;Radice di bardana g 200;200;;Azienda agricola Mauro Villa;;;;;;;;;;;;;;
VERDBORRAGINE5;Borragine g 300 ;300;;Azienda agricola Mauro Villa;;;;;;;;;;;;;;
VERDCARDOGOBBO6;Cardo bianco g 500;500;;Azienda agricola Mauro Villa;;;;;;;;;;;;;;
VERDCAVOLORAPA5;Cavolo rapa g 500;500;;Azienda agricola Mauro Villa;;;;;;;;;;;;;;
SAS43;Buonbrodo g 260;260;;Cooperativa agricola Valli Unite;;;;;;;;;;;;;;
CARMBOCCG500;Bocconcini di maiale g 500;500;;Azienda agricola Luiset;;;;;;;;;;;;;;
CARMLONZAFETTE1;Lonza di maiale a fette g 250;250;;Azienda agricola Luiset;;;;;;;;;;;;;;
CARMLONZAINTER1;Lonza di maiale pezzo intero g 800;800;;Azienda agricola Luiset;;;;;;;;;;;;;;
CARMSTRACC1;Straccetti di maiale g 250;250;;Azienda agricola Luiset;;;;;;;;;;;;;;
CARMSVIZ1;Svizzere di maiale g 120 cadauna g 240;240;;Azienda agricola Luiset;;;;;;;;;;;;;;
CARMSVIZPROSC;Svizzere grigliate di prosciutto cotto g 180;180;;Azienda agricola Luiset;;;;;;;;;;;;;;
CARRMBRACIOLE1;Braciole di maiale g 550;550;;Azienda agricola Luiset;;;;;;;;;;;;;;
CARRMCAPOCFETT1;Capocollo di maiale a fette g 250;250;;Azienda agricola Luiset;;;;;;;;;;;;;;
CARRMCAPOCINTE1;Capocollo di maiale pezzo intero g 800;800;;Azienda agricola Luiset;;;;;;;;;;;;;;
CARRMCOSTINE1;Costine di maiale g 500;500;;Azienda agricola Luiset;;;;;;;;;;;;;;
CARRMTRITATA1;Polpa di maiale da sugo e polpette g 300;300;;Azienda agricola Luiset;;;;;;;;;;;;;;
SALCACCIATORIN1;Salamino tradizionale g 200;200;;Azienda agricola Luiset;;;;;;;;;;;;;;
SALCAMPAGNOLO;Salamini con finocchio e peperoncino g 200;200;;Azienda agricola Luiset;;;;;;;;;;;;;;
SALCOTECHINO;Cotechino g 90;90;;Azienda agricola Luiset;;;;;;;;;;;;;;
SALGUANCIALE1;Guanciale a cubetti g 100;100;;Azienda agricola Luiset;;;;;;;;;;;;;;
SALGUSTERG2401;“Guster” di puro maiale g 240;240;;Azienda agricola Luiset;;;;;;;;;;;;;;
SALLARDOAFFETT1;Lardo senza spezie affettato g 100;100;;Azienda agricola Luiset;;;;;;;;;;;;;;
SALLONZAARROSA1;Lonza arrosto all'Arneis affettata g 100;100;;Azienda agricola Luiset;;;;;;;;;;;;;;
SALLONZINOAFF;Lonzino affettato g 100;100;;Azienda agricola Luiset;;;;;;;;;;;;;;
SALPANCETTAAFF1;Pancetta affettata g 100;100;;Azienda agricola Luiset;;;;;;;;;;;;;;
SALPANCETTATRAN;Pancetta trancio g 300;300;;Azienda agricola Luiset;;;;;;;;;;;;;;
